date,timestamp,ISO8601,hr (count/min),power (watt),cadence (count/min),distance (meter),speed (m/s),lap,since_start
11:33:19.000 AM,1770222799.000,2026-02-04T11:33:19.000-0500,,,,,,,
11:33:19.000 AM,1770222799.000,2026-02-04T11:33:19.000-0500,,,,0.000,0.000,1,0
11:33:20.000 AM,1770222800.000,2026-02-04T11:33:20.000-0500,64,,,0.000,3.363,1,1
11:33:21.000 AM,1770222801.000,2026-02-04T11:33:21.000-0500,65,60,65,3.120,3.462,1,2
11:33:22.000 AM,1770222802.000,2026-02-04T11:33:22.000-0500,66,63,66,5.570,3.518,1,3
11:33:23.000 AM,1770222803.000,2026-02-04T11:33:23.000-0500,65,58,67,10.810,3.631,1,4
11:33:24.000 AM,1770222804.000,2026-02-04T11:33:24.000-0500,65,55,67,12.590,3.651,1,5
11:33:25.000 AM,1770222805.000,2026-02-04T11:33:25.000-0500,65,53,66,18.720,3.664,1,6
11:33:26.000 AM,1770222806.000,2026-02-04T11:33:26.000-0500,65,52,66,20.920,3.675,1,7
11:33:27.000 AM,1770222807.000,2026-02-04T11:33:27.000-0500,65,52,66,26.110,3.673,1,8
11:33:28.000 AM,1770222808.000,2026-02-04T11:33:28.000-0500,66,55,66,29.280,3.698,1,9
11:33:29.000 AM,1770222809.000,2026-02-04T11:33:29.000-0500,66,53,66,32.640,3.710,1,10
11:33:30.000 AM,1770222810.000,2026-02-04T11:33:30.000-0500,66,51,65,36.600,3.685,1,11
11:33:31.000 AM,1770222811.000,2026-02-04T11:33:31.000-0500,66,51,65,40.290,3.658,1,12
11:33:32.000 AM,1770222812.000,2026-02-04T11:33:32.000-0500,66,54,65,43.070,3.651,1,13
11:33:33.000 AM,1770222813.000,2026-02-04T11:33:33.000-0500,66,55,65,47.840,3.637,1,14
11:33:34.000 AM,1770222814.000,2026-02-04T11:33:34.000-0500,67,55,64,50.620,3.629,1,15
11:33:35.000 AM,1770222815.000,2026-02-04T11:33:35.000-0500,67,50,64,54.880,3.613,1,16
11:33:36.000 AM,1770222816.000,2026-02-04T11:33:36.000-0500,67,49,64,57.660,3.596,1,17
11:33:37.000 AM,1770222817.000,2026-02-04T11:33:37.000-0500,67,52,65,61.770,3.615,1,18
11:33:38.000 AM,1770222818.000,2026-02-04T11:33:38.000-0500,67,51,64,65.300,3.609,1,19
11:33:39.000 AM,1770222819.000,2026-02-04T11:33:39.000-0500,67,52,64,68.770,3.598,1,20
11:33:40.000 AM,1770222820.000,2026-02-04T11:33:40.000-0500,67,53,65,71.550,3.609,1,21
11:33:41.000 AM,1770222821.000,2026-02-04T11:33:41.000-0500,68,49,63,75.690,3.582,1,22
11:33:42.000 AM,1770222822.000,2026-02-04T11:33:42.000-0500,68,47,63,79.480,3.554,1,23
11:33:43.000 AM,1770222823.000,2026-02-04T11:33:43.000-0500,68,47,63,82.580,3.534,1,24
11:33:44.000 AM,1770222824.000,2026-02-04T11:33:44.000-0500,69,48,63,86.790,3.503,1,25
11:33:45.000 AM,1770222825.000,2026-02-04T11:33:45.000-0500,70,48,63,89.940,3.508,1,26
11:33:46.000 AM,1770222826.000,2026-02-04T11:33:46.000-0500,70,47,63,93.750,3.510,1,27
11:33:47.000 AM,1770222827.000,2026-02-04T11:33:47.000-0500,70,45,62,97.260,3.503,1,28
11:33:48.000 AM,1770222828.000,2026-02-04T11:33:48.000-0500,70,48,63,100.400,3.511,1,29
11:33:49.000 AM,1770222829.000,2026-02-04T11:33:49.000-0500,70,52,63,103.550,3.521,1,30
