date,timestamp,ISO8601,hr (count/min),distance (meter),speed (m/s),since_start
11:57:42.707 AM,1770310662.707,2026-02-05T11:57:42.707-0500,,,,
11:57:42.707 AM,1770310662.707,2026-02-05T11:57:42.707-0500,53,0.000,2.996,0
11:57:43.707 AM,1770310663.707,2026-02-05T11:57:43.707-0500,52,2.996,2.996,1
11:57:44.707 AM,1770310664.707,2026-02-05T11:57:44.707-0500,52,5.992,2.996,2
11:57:45.707 AM,1770310665.707,2026-02-05T11:57:45.707-0500,53,8.987,2.996,3
11:57:46.707 AM,1770310666.707,2026-02-05T11:57:46.707-0500,57,11.983,2.996,4
11:57:47.707 AM,1770310667.707,2026-02-05T11:57:47.707-0500,59,14.979,2.996,5
11:57:48.707 AM,1770310668.707,2026-02-05T11:57:48.707-0500,61,17.975,2.996,6
11:57:49.707 AM,1770310669.707,2026-02-05T11:57:49.707-0500,61,20.971,2.996,7
11:57:50.707 AM,1770310670.707,2026-02-05T11:57:50.707-0500,61,23.967,2.996,8
11:57:51.707 AM,1770310671.707,2026-02-05T11:57:51.707-0500,64,26.962,2.996,9
11:57:52.707 AM,1770310672.707,2026-02-05T11:57:52.707-0500,66,29.958,2.996,10
11:57:53.707 AM,1770310673.707,2026-02-05T11:57:53.707-0500,68,32.954,2.996,11
11:57:54.707 AM,1770310674.707,2026-02-05T11:57:54.707-0500,70,35.950,2.996,12
11:57:55.707 AM,1770310675.707,2026-02-05T11:57:55.707-0500,71,38.946,2.996,13
11:57:56.707 AM,1770310676.707,2026-02-05T11:57:56.707-0500,71,41.942,2.996,14
11:57:57.707 AM,1770310677.707,2026-02-05T11:57:57.707-0500,72,44.937,2.996,15
11:57:58.707 AM,1770310678.707,2026-02-05T11:57:58.707-0500,74,47.933,2.996,16
11:57:59.707 AM,1770310679.707,2026-02-05T11:57:59.707-0500,75,50.929,2.996,17
11:58:00.707 AM,1770310680.707,2026-02-05T11:58:00.707-0500,75,53.925,2.996,18
11:58:01.707 AM,1770310681.707,2026-02-05T11:58:01.707-0500,76,56.921,2.996,19
11:58:02.707 AM,1770310682.707,2026-02-05T11:58:02.707-0500,76,59.916,2.996,20
11:58:03.707 AM,1770310683.707,2026-02-05T11:58:03.707-0500,77,62.912,2.996,21
11:58:04.707 AM,1770310684.707,2026-02-05T11:58:04.707-0500,77,65.908,2.996,22
11:58:05.707 AM,1770310685.707,2026-02-05T11:58:05.707-0500,78,68.904,2.996,23
11:58:06.707 AM,1770310686.707,2026-02-05T11:58:06.707-0500,78,71.900,2.996,24
11:58:07.707 AM,1770310687.707,2026-02-05T11:58:07.707-0500,79,74.896,2.996,25
11:58:08.707 AM,1770310688.707,2026-02-05T11:58:08.707-0500,79,77.891,2.996,26
11:58:09.707 AM,1770310689.707,2026-02-05T11:58:09.707-0500,79,80.887,2.996,27
11:58:10.707 AM,1770310690.707,2026-02-05T11:58:10.707-0500,80,83.883,2.996,28
11:58:11.707 AM,1770310691.707,2026-02-05T11:58:11.707-0500,80,86.879,2.996,29
11:58:12.707 AM,1770310692.707,2026-02-05T11:58:12.707-0500,81,89.875,2.996,30
11:58:13.707 AM,1770310693.707,2026-02-05T11:58:13.707-0500,81,92.871,2.996,31
11:58:14.707 AM,1770310694.707,2026-02-05T11:58:14.707-0500,82,95.866,2.996,32
11:58:15.707 AM,1770310695.707,2026-02-05T11:58:15.707-0500,82,98.862,2.996,33
