date,timestamp,ISO8601,hr (count/min),since_start
10:58:22.000 AM,1770652702.000,2026-02-09T10:58:22.000-0500,,
10:58:22.000 AM,1770652702.000,2026-02-09T10:58:22.000-0500,77,0
10:58:23.000 AM,1770652703.000,2026-02-09T10:58:23.000-0500,77,1
10:58:24.000 AM,1770652704.000,2026-02-09T10:58:24.000-0500,77,2
10:58:25.000 AM,1770652705.000,2026-02-09T10:58:25.000-0500,77,3
10:58:26.000 AM,1770652706.000,2026-02-09T10:58:26.000-0500,77,4
10:58:27.000 AM,1770652707.000,2026-02-09T10:58:27.000-0500,76,5
10:58:28.000 AM,1770652708.000,2026-02-09T10:58:28.000-0500,76,6
10:58:29.000 AM,1770652709.000,2026-02-09T10:58:29.000-0500,75,7
10:58:30.000 AM,1770652710.000,2026-02-09T10:58:30.000-0500,74,8
10:58:31.000 AM,1770652711.000,2026-02-09T10:58:31.000-0500,73,9
10:58:32.000 AM,1770652712.000,2026-02-09T10:58:32.000-0500,71,10
10:58:33.000 AM,1770652713.000,2026-02-09T10:58:33.000-0500,70,11
10:58:34.000 AM,1770652714.000,2026-02-09T10:58:34.000-0500,68,12
10:58:35.000 AM,1770652715.000,2026-02-09T10:58:35.000-0500,63,13
10:58:36.000 AM,1770652716.000,2026-02-09T10:58:36.000-0500,59,14
10:58:37.000 AM,1770652717.000,2026-02-09T10:58:37.000-0500,57,15
10:58:38.000 AM,1770652718.000,2026-02-09T10:58:38.000-0500,55,16
10:58:39.000 AM,1770652719.000,2026-02-09T10:58:39.000-0500,54,17
10:58:40.000 AM,1770652720.000,2026-02-09T10:58:40.000-0500,53,18
10:58:41.000 AM,1770652721.000,2026-02-09T10:58:41.000-0500,52,19
10:58:42.000 AM,1770652722.000,2026-02-09T10:58:42.000-0500,51,20
10:58:43.000 AM,1770652723.000,2026-02-09T10:58:43.000-0500,51,21
10:58:44.000 AM,1770652724.000,2026-02-09T10:58:44.000-0500,51,22
10:58:45.000 AM,1770652725.000,2026-02-09T10:58:45.000-0500,50,23
10:58:46.000 AM,1770652726.000,2026-02-09T10:58:46.000-0500,49,24
10:58:47.000 AM,1770652727.000,2026-02-09T10:58:47.000-0500,48,25
10:58:48.000 AM,1770652728.000,2026-02-09T10:58:48.000-0500,48,26
10:58:49.000 AM,1770652729.000,2026-02-09T10:58:49.000-0500,48,27
10:58:50.000 AM,1770652730.000,2026-02-09T10:58:50.000-0500,47,28
10:58:51.000 AM,1770652731.000,2026-02-09T10:58:51.000-0500,47,29
10:58:52.000 AM,1770652732.000,2026-02-09T10:58:52.000-0500,46,30
10:58:53.000 AM,1770652733.000,2026-02-09T10:58:53.000-0500,47,31
10:58:54.000 AM,1770652734.000,2026-02-09T10:58:54.000-0500,47,32
10:58:55.000 AM,1770652735.000,2026-02-09T10:58:55.000-0500,48,33
10:58:56.000 AM,1770652736.000,2026-02-09T10:58:56.000-0500,48,34
10:58:57.000 AM,1770652737.000,2026-02-09T10:58:57.000-0500,48,35
10:58:58.000 AM,1770652738.000,2026-02-09T10:58:58.000-0500,49,36
10:58:59.000 AM,1770652739.000,2026-02-09T10:58:59.000-0500,50,37
