date,timestamp,ISO8601,hr (count/min),since_start
11:48:29.000 AM,1770742109.000,2026-02-10T11:48:29.000-0500,,
11:48:29.000 AM,1770742109.000,2026-02-10T11:48:29.000-0500,54,0
11:48:30.000 AM,1770742110.000,2026-02-10T11:48:30.000-0500,54,1
11:48:31.000 AM,1770742111.000,2026-02-10T11:48:31.000-0500,54,2
11:48:32.000 AM,1770742112.000,2026-02-10T11:48:32.000-0500,54,3
11:48:33.000 AM,1770742113.000,2026-02-10T11:48:33.000-0500,54,4
11:48:34.000 AM,1770742114.000,2026-02-10T11:48:34.000-0500,54,5
11:48:35.000 AM,1770742115.000,2026-02-10T11:48:35.000-0500,53,6
11:48:36.000 AM,1770742116.000,2026-02-10T11:48:36.000-0500,54,7
11:48:37.000 AM,1770742117.000,2026-02-10T11:48:37.000-0500,54,8
11:48:38.000 AM,1770742118.000,2026-02-10T11:48:38.000-0500,55,9
11:48:39.000 AM,1770742119.000,2026-02-10T11:48:39.000-0500,56,10
11:48:40.000 AM,1770742120.000,2026-02-10T11:48:40.000-0500,57,11
11:48:41.000 AM,1770742121.000,2026-02-10T11:48:41.000-0500,60,12
11:48:42.000 AM,1770742122.000,2026-02-10T11:48:42.000-0500,62,13
11:48:43.000 AM,1770742123.000,2026-02-10T11:48:43.000-0500,63,14
11:48:44.000 AM,1770742124.000,2026-02-10T11:48:44.000-0500,66,15
11:48:45.000 AM,1770742125.000,2026-02-10T11:48:45.000-0500,69,16
11:48:46.000 AM,1770742126.000,2026-02-10T11:48:46.000-0500,71,17
11:48:47.000 AM,1770742127.000,2026-02-10T11:48:47.000-0500,72,18
11:48:48.000 AM,1770742128.000,2026-02-10T11:48:48.000-0500,73,19
11:48:49.000 AM,1770742129.000,2026-02-10T11:48:49.000-0500,74,20
11:48:50.000 AM,1770742130.000,2026-02-10T11:48:50.000-0500,75,21
11:48:51.000 AM,1770742131.000,2026-02-10T11:48:51.000-0500,77,22
11:48:52.000 AM,1770742132.000,2026-02-10T11:48:52.000-0500,77,23
11:48:53.000 AM,1770742133.000,2026-02-10T11:48:53.000-0500,78,24
11:48:54.000 AM,1770742134.000,2026-02-10T11:48:54.000-0500,79,25
11:48:55.000 AM,1770742135.000,2026-02-10T11:48:55.000-0500,81,26
11:48:56.000 AM,1770742136.000,2026-02-10T11:48:56.000-0500,80,27
11:48:57.000 AM,1770742137.000,2026-02-10T11:48:57.000-0500,83,28
11:48:58.000 AM,1770742138.000,2026-02-10T11:48:58.000-0500,85,29
11:48:59.000 AM,1770742139.000,2026-02-10T11:48:59.000-0500,88,30
11:49:00.000 AM,1770742140.000,2026-02-10T11:49:00.000-0500,90,31
11:49:01.000 AM,1770742141.000,2026-02-10T11:49:01.000-0500,91,32
11:49:02.000 AM,1770742142.000,2026-02-10T11:49:02.000-0500,93,33
11:49:03.000 AM,1770742143.000,2026-02-10T11:49:03.000-0500,94,34
11:49:04.000 AM,1770742144.000,2026-02-10T11:49:04.000-0500,97,35
11:49:05.000 AM,1770742145.000,2026-02-10T11:49:05.000-0500,97,36
11:49:06.000 AM,1770742146.000,2026-02-10T11:49:06.000-0500,98,37
11:49:07.000 AM,1770742147.000,2026-02-10T11:49:07.000-0500,99,38
11:49:08.000 AM,1770742148.000,2026-02-10T11:49:08.000-0500,100,39
11:49:09.000 AM,1770742149.000,2026-02-10T11:49:09.000-0500,100,40
