date,timestamp,ISO8601,hr (count/min),distance (meter),speed (m/s),since_start
11:48:38.095 AM,1770742118.095,2026-02-10T11:48:38.095-0500,,,,
11:48:38.095 AM,1770742118.095,2026-02-10T11:48:38.095-0500,,0.000,2.950,0
11:48:39.095 AM,1770742119.095,2026-02-10T11:48:39.095-0500,,2.950,2.950,1
11:48:40.095 AM,1770742120.095,2026-02-10T11:48:40.095-0500,,5.901,2.950,2
11:48:41.095 AM,1770742121.095,2026-02-10T11:48:41.095-0500,,8.851,2.950,3
11:48:42.095 AM,1770742122.095,2026-02-10T11:48:42.095-0500,,11.802,2.950,4
11:48:43.095 AM,1770742123.095,2026-02-10T11:48:43.095-0500,,14.752,2.950,5
11:48:44.095 AM,1770742124.095,2026-02-10T11:48:44.095-0500,,17.703,2.950,6
11:48:45.095 AM,1770742125.095,2026-02-10T11:48:45.095-0500,,20.653,2.950,7
11:48:46.095 AM,1770742126.095,2026-02-10T11:48:46.095-0500,,23.603,2.950,8
11:48:47.095 AM,1770742127.095,2026-02-10T11:48:47.095-0500,,26.554,2.950,9
11:48:48.095 AM,1770742128.095,2026-02-10T11:48:48.095-0500,,29.504,2.950,10
11:48:49.095 AM,1770742129.095,2026-02-10T11:48:49.095-0500,,32.455,2.950,11
11:48:50.095 AM,1770742130.095,2026-02-10T11:48:50.095-0500,,35.405,2.950,12
11:48:51.095 AM,1770742131.095,2026-02-10T11:48:51.095-0500,,38.356,2.950,13
11:48:52.095 AM,1770742132.095,2026-02-10T11:48:52.095-0500,,41.306,2.950,14
11:48:53.095 AM,1770742133.095,2026-02-10T11:48:53.095-0500,,44.256,2.950,15
11:48:54.095 AM,1770742134.095,2026-02-10T11:48:54.095-0500,,47.207,2.950,16
11:48:55.095 AM,1770742135.095,2026-02-10T11:48:55.095-0500,,50.157,2.950,17
11:48:56.095 AM,1770742136.095,2026-02-10T11:48:56.095-0500,,53.108,2.950,18
11:48:57.095 AM,1770742137.095,2026-02-10T11:48:57.095-0500,,56.058,2.950,19
11:48:58.095 AM,1770742138.095,2026-02-10T11:48:58.095-0500,,59.009,2.950,20
11:48:59.095 AM,1770742139.095,2026-02-10T11:48:59.095-0500,,61.959,2.950,21
11:49:00.095 AM,1770742140.095,2026-02-10T11:49:00.095-0500,,64.909,2.950,22
11:49:01.095 AM,1770742141.095,2026-02-10T11:49:01.095-0500,,67.860,2.950,23
11:49:02.095 AM,1770742142.095,2026-02-10T11:49:02.095-0500,,70.810,2.950,24
11:49:03.095 AM,1770742143.095,2026-02-10T11:49:03.095-0500,144,73.761,2.950,25
11:49:04.095 AM,1770742144.095,2026-02-10T11:49:04.095-0500,144,76.711,2.950,26
11:49:05.095 AM,1770742145.095,2026-02-10T11:49:05.095-0500,144,79.662,2.950,27
11:49:06.095 AM,1770742146.095,2026-02-10T11:49:06.095-0500,144,82.612,2.950,28
11:49:07.095 AM,1770742147.095,2026-02-10T11:49:07.095-0500,145,85.562,2.950,29
11:49:08.095 AM,1770742148.095,2026-02-10T11:49:08.095-0500,145,88.513,2.950,30
11:49:09.095 AM,1770742149.095,2026-02-10T11:49:09.095-0500,149,91.463,2.950,31
11:49:10.095 AM,1770742150.095,2026-02-10T11:49:10.095-0500,149,94.414,2.950,32
11:49:11.095 AM,1770742151.095,2026-02-10T11:49:11.095-0500,149,97.364,2.950,33
11:49:12.095 AM,1770742152.095,2026-02-10T11:49:12.095-0500,149,100.315,2.950,34
11:49:13.095 AM,1770742153.095,2026-02-10T11:49:13.095-0500,150,103.265,2.950,35
11:49:14.095 AM,1770742154.095,2026-02-10T11:49:14.095-0500,150,106.215,2.950,36
11:49:15.095 AM,1770742155.095,2026-02-10T11:49:15.095-0500,150,109.166,2.950,37
11:49:16.095 AM,1770742156.095,2026-02-10T11:49:16.095-0500,150,112.116,2.950,38
11:49:17.095 AM,1770742157.095,2026-02-10T11:49:17.095-0500,150,115.067,2.950,39
11:49:18.095 AM,1770742158.095,2026-02-10T11:49:18.095-0500,151,118.017,2.950,40
11:49:19.095 AM,1770742159.095,2026-02-10T11:49:19.095-0500,151,120.968,2.950,41
11:49:20.095 AM,1770742160.095,2026-02-10T11:49:20.095-0500,151,123.918,2.950,42
11:49:21.095 AM,1770742161.095,2026-02-10T11:49:21.095-0500,152,126.868,2.950,43
11:49:22.095 AM,1770742162.095,2026-02-10T11:49:22.095-0500,153,129.819,2.950,44
11:49:23.095 AM,1770742163.095,2026-02-10T11:49:23.095-0500,154,132.769,2.950,45
11:49:24.095 AM,1770742164.095,2026-02-10T11:49:24.095-0500,160,135.720,2.950,46
11:49:25.095 AM,1770742165.095,2026-02-10T11:49:25.095-0500,162,138.670,2.950,47
11:49:26.095 AM,1770742166.095,2026-02-10T11:49:26.095-0500,162,141.621,2.950,48
11:49:27.095 AM,1770742167.095,2026-02-10T11:49:27.095-0500,162,144.571,2.950,49
11:49:28.095 AM,1770742168.095,2026-02-10T11:49:28.095-0500,163,147.521,2.950,50
11:49:29.095 AM,1770742169.095,2026-02-10T11:49:29.095-0500,163,150.472,2.950,51
11:49:30.095 AM,1770742170.095,2026-02-10T11:49:30.095-0500,163,153.422,2.950,52
11:49:31.095 AM,1770742171.095,2026-02-10T11:49:31.095-0500,164,156.373,2.950,53
11:49:32.095 AM,1770742172.095,2026-02-10T11:49:32.095-0500,164,159.323,2.950,54
11:49:33.095 AM,1770742173.095,2026-02-10T11:49:33.095-0500,164,162.274,2.950,55
11:49:34.095 AM,1770742174.095,2026-02-10T11:49:34.095-0500,164,165.224,2.950,56
11:49:35.095 AM,1770742175.095,2026-02-10T11:49:35.095-0500,164,168.174,2.950,57
11:49:36.095 AM,1770742176.095,2026-02-10T11:49:36.095-0500,164,171.125,2.950,58
11:49:37.095 AM,1770742177.095,2026-02-10T11:49:37.095-0500,165,174.075,2.950,59
11:49:38.095 AM,1770742178.095,2026-02-10T11:49:38.095-0500,165,177.026,2.950,60
11:49:39.095 AM,1770742179.095,2026-02-10T11:49:39.095-0500,166,179.976,2.950,61
11:49:40.095 AM,1770742180.095,2026-02-10T11:49:40.095-0500,166,182.927,2.950,62
11:49:41.095 AM,1770742181.095,2026-02-10T11:49:41.095-0500,166,185.877,2.950,63
11:49:42.095 AM,1770742182.095,2026-02-10T11:49:42.095-0500,166,188.827,2.950,64
11:49:43.095 AM,1770742183.095,2026-02-10T11:49:43.095-0500,166,191.778,2.950,65
11:49:44.095 AM,1770742184.095,2026-02-10T11:49:44.095-0500,166,194.728,2.950,66
11:49:45.095 AM,1770742185.095,2026-02-10T11:49:45.095-0500,168,197.679,2.950,67
11:49:46.095 AM,1770742186.095,2026-02-10T11:49:46.095-0500,168,200.629,2.950,68
11:49:47.095 AM,1770742187.095,2026-02-10T11:49:47.095-0500,,203.580,2.950,69
11:49:48.095 AM,1770742188.095,2026-02-10T11:49:48.095-0500,,206.530,2.950,70
11:49:49.095 AM,1770742189.095,2026-02-10T11:49:49.095-0500,,209.480,2.950,71
11:49:50.095 AM,1770742190.095,2026-02-10T11:49:50.095-0500,,212.431,2.950,72
11:49:51.095 AM,1770742191.095,2026-02-10T11:49:51.095-0500,,215.381,2.950,73
11:49:52.095 AM,1770742192.095,2026-02-10T11:49:52.095-0500,,218.332,2.950,74
11:49:53.095 AM,1770742193.095,2026-02-10T11:49:53.095-0500,,221.282,2.950,75
11:49:54.095 AM,1770742194.095,2026-02-10T11:49:54.095-0500,,224.233,2.950,76
11:49:55.095 AM,1770742195.095,2026-02-10T11:49:55.095-0500,,227.183,2.950,77
11:49:56.095 AM,1770742196.095,2026-02-10T11:49:56.095-0500,,230.133,2.950,78
11:49:57.095 AM,1770742197.095,2026-02-10T11:49:57.095-0500,,233.084,2.950,79
11:49:58.095 AM,1770742198.095,2026-02-10T11:49:58.095-0500,,236.034,2.950,80
11:49:59.095 AM,1770742199.095,2026-02-10T11:49:59.095-0500,,238.985,2.950,81
11:50:00.095 AM,1770742200.095,2026-02-10T11:50:00.095-0500,,241.935,2.950,82
11:50:01.095 AM,1770742201.095,2026-02-10T11:50:01.095-0500,,244.886,2.950,83
11:50:02.095 AM,1770742202.095,2026-02-10T11:50:02.095-0500,,247.836,2.950,84
11:50:03.095 AM,1770742203.095,2026-02-10T11:50:03.095-0500,,250.786,2.950,85
11:50:04.095 AM,1770742204.095,2026-02-10T11:50:04.095-0500,,253.737,2.950,86
11:50:05.095 AM,1770742205.095,2026-02-10T11:50:05.095-0500,,256.687,2.950,87
11:50:06.095 AM,1770742206.095,2026-02-10T11:50:06.095-0500,,259.638,2.950,88
11:50:07.095 AM,1770742207.095,2026-02-10T11:50:07.095-0500,,262.588,2.950,89
11:50:08.095 AM,1770742208.095,2026-02-10T11:50:08.095-0500,,265.539,2.950,90
11:50:09.095 AM,1770742209.095,2026-02-10T11:50:09.095-0500,,268.489,2.950,91
11:50:10.095 AM,1770742210.095,2026-02-10T11:50:10.095-0500,,271.439,2.950,92
11:50:11.095 AM,1770742211.095,2026-02-10T11:50:11.095-0500,,274.390,2.950,93
11:50:12.095 AM,1770742212.095,2026-02-10T11:50:12.095-0500,,277.340,2.950,94
11:50:13.095 AM,1770742213.095,2026-02-10T11:50:13.095-0500,,280.291,2.950,95
11:50:14.095 AM,1770742214.095,2026-02-10T11:50:14.095-0500,,283.241,2.950,96
11:50:15.095 AM,1770742215.095,2026-02-10T11:50:15.095-0500,,286.192,2.950,97
11:50:16.095 AM,1770742216.095,2026-02-10T11:50:16.095-0500,,289.142,2.950,98
11:50:17.095 AM,1770742217.095,2026-02-10T11:50:17.095-0500,,292.092,2.950,99
11:50:18.095 AM,1770742218.095,2026-02-10T11:50:18.095-0500,,295.043,2.950,100
11:50:19.095 AM,1770742219.095,2026-02-10T11:50:19.095-0500,,297.993,2.950,101
11:50:20.095 AM,1770742220.095,2026-02-10T11:50:20.095-0500,168,300.944,2.950,102
11:50:21.095 AM,1770742221.095,2026-02-10T11:50:21.095-0500,168,303.894,2.950,103
11:50:22.095 AM,1770742222.095,2026-02-10T11:50:22.095-0500,168,306.845,2.950,104
11:50:23.095 AM,1770742223.095,2026-02-10T11:50:23.095-0500,168,309.795,2.950,105
11:50:24.095 AM,1770742224.095,2026-02-10T11:50:24.095-0500,170,312.745,2.950,106
11:50:25.095 AM,1770742225.095,2026-02-10T11:50:25.095-0500,170,315.696,2.950,107
11:50:26.095 AM,1770742226.095,2026-02-10T11:50:26.095-0500,170,318.646,2.950,108
11:50:27.095 AM,1770742227.095,2026-02-10T11:50:27.095-0500,170,321.597,2.950,109
11:50:28.095 AM,1770742228.095,2026-02-10T11:50:28.095-0500,170,324.547,2.950,110
11:50:29.095 AM,1770742229.095,2026-02-10T11:50:29.095-0500,171,327.498,2.950,111
11:50:30.095 AM,1770742230.095,2026-02-10T11:50:30.095-0500,171,330.448,2.950,112
11:50:31.095 AM,1770742231.095,2026-02-10T11:50:31.095-0500,171,333.399,2.950,113
11:50:32.095 AM,1770742232.095,2026-02-10T11:50:32.095-0500,171,336.349,2.950,114
11:50:33.095 AM,1770742233.095,2026-02-10T11:50:33.095-0500,171,339.299,2.950,115
11:50:34.095 AM,1770742234.095,2026-02-10T11:50:34.095-0500,171,342.250,2.950,116
11:50:35.095 AM,1770742235.095,2026-02-10T11:50:35.095-0500,172,345.200,2.950,117
11:50:36.095 AM,1770742236.095,2026-02-10T11:50:36.095-0500,173,348.151,2.950,118
11:50:37.095 AM,1770742237.095,2026-02-10T11:50:37.095-0500,173,351.101,2.950,119
11:50:38.095 AM,1770742238.095,2026-02-10T11:50:38.095-0500,173,354.052,2.950,120
11:50:39.095 AM,1770742239.095,2026-02-10T11:50:39.095-0500,174,357.002,2.950,121
11:50:40.095 AM,1770742240.095,2026-02-10T11:50:40.095-0500,173,359.952,2.950,122
11:50:41.095 AM,1770742241.095,2026-02-10T11:50:41.095-0500,173,362.903,2.950,123
11:50:42.095 AM,1770742242.095,2026-02-10T11:50:42.095-0500,172,365.853,2.950,124
11:50:43.095 AM,1770742243.095,2026-02-10T11:50:43.095-0500,172,368.804,2.950,125
11:50:44.095 AM,1770742244.095,2026-02-10T11:50:44.095-0500,172,371.754,2.950,126
11:50:45.095 AM,1770742245.095,2026-02-10T11:50:45.095-0500,172,374.705,2.950,127
11:50:46.095 AM,1770742246.095,2026-02-10T11:50:46.095-0500,172,377.655,2.950,128
11:50:47.095 AM,1770742247.095,2026-02-10T11:50:47.095-0500,172,380.605,2.950,129
11:50:48.095 AM,1770742248.095,2026-02-10T11:50:48.095-0500,172,383.556,2.950,130
11:50:49.095 AM,1770742249.095,2026-02-10T11:50:49.095-0500,172,386.506,2.950,131
11:50:50.095 AM,1770742250.095,2026-02-10T11:50:50.095-0500,172,389.457,2.950,132
11:50:51.095 AM,1770742251.095,2026-02-10T11:50:51.095-0500,171,392.407,2.950,133
11:50:52.095 AM,1770742252.095,2026-02-10T11:50:52.095-0500,171,395.358,2.950,134
11:50:53.095 AM,1770742253.095,2026-02-10T11:50:53.095-0500,171,398.308,2.950,135
11:50:54.095 AM,1770742254.095,2026-02-10T11:50:54.095-0500,171,401.258,2.950,136
11:50:55.095 AM,1770742255.095,2026-02-10T11:50:55.095-0500,171,404.209,2.950,137
11:50:56.095 AM,1770742256.095,2026-02-10T11:50:56.095-0500,170,407.159,2.950,138
11:50:57.095 AM,1770742257.095,2026-02-10T11:50:57.095-0500,170,410.110,2.950,139
11:50:58.095 AM,1770742258.095,2026-02-10T11:50:58.095-0500,170,413.060,2.950,140
11:50:59.095 AM,1770742259.095,2026-02-10T11:50:59.095-0500,170,416.011,2.950,141
11:51:00.095 AM,1770742260.095,2026-02-10T11:51:00.095-0500,170,418.961,2.950,142
11:51:01.095 AM,1770742261.095,2026-02-10T11:51:01.095-0500,170,421.911,2.950,143
11:51:02.095 AM,1770742262.095,2026-02-10T11:51:02.095-0500,170,424.862,2.950,144
11:51:03.095 AM,1770742263.095,2026-02-10T11:51:03.095-0500,,427.812,2.950,145
11:51:04.095 AM,1770742264.095,2026-02-10T11:51:04.095-0500,,430.763,2.950,146
11:51:05.095 AM,1770742265.095,2026-02-10T11:51:05.095-0500,,433.713,2.950,147
11:51:06.095 AM,1770742266.095,2026-02-10T11:51:06.095-0500,,436.664,2.950,148
11:51:07.095 AM,1770742267.095,2026-02-10T11:51:07.095-0500,,439.614,2.950,149
11:51:08.095 AM,1770742268.095,2026-02-10T11:51:08.095-0500,,442.564,2.950,150
11:51:09.095 AM,1770742269.095,2026-02-10T11:51:09.095-0500,,445.515,2.950,151
11:51:10.095 AM,1770742270.095,2026-02-10T11:51:10.095-0500,,448.465,2.950,152
11:51:11.095 AM,1770742271.095,2026-02-10T11:51:11.095-0500,,451.416,2.950,153
11:51:12.095 AM,1770742272.095,2026-02-10T11:51:12.095-0500,,454.366,2.950,154
11:51:13.095 AM,1770742273.095,2026-02-10T11:51:13.095-0500,,457.317,2.950,155
11:51:14.095 AM,1770742274.095,2026-02-10T11:51:14.095-0500,,460.267,2.950,156
11:51:15.095 AM,1770742275.095,2026-02-10T11:51:15.095-0500,,463.217,2.950,157
11:51:16.095 AM,1770742276.095,2026-02-10T11:51:16.095-0500,,466.168,2.950,158
11:51:17.095 AM,1770742277.095,2026-02-10T11:51:17.095-0500,,469.118,2.950,159
11:51:18.095 AM,1770742278.095,2026-02-10T11:51:18.095-0500,,472.069,2.950,160
11:51:19.095 AM,1770742279.095,2026-02-10T11:51:19.095-0500,,475.019,2.950,161
11:51:20.095 AM,1770742280.095,2026-02-10T11:51:20.095-0500,,477.970,2.950,162
11:51:21.095 AM,1770742281.095,2026-02-10T11:51:21.095-0500,,480.920,2.950,163
11:51:22.095 AM,1770742282.095,2026-02-10T11:51:22.095-0500,,483.870,2.950,164
11:51:23.095 AM,1770742283.095,2026-02-10T11:51:23.095-0500,,486.821,2.950,165
11:51:24.095 AM,1770742284.095,2026-02-10T11:51:24.095-0500,,489.771,2.950,166
11:51:25.095 AM,1770742285.095,2026-02-10T11:51:25.095-0500,,492.722,2.950,167
11:51:26.095 AM,1770742286.095,2026-02-10T11:51:26.095-0500,,495.672,2.950,168
11:51:27.095 AM,1770742287.095,2026-02-10T11:51:27.095-0500,,498.623,2.950,169
11:51:28.095 AM,1770742288.095,2026-02-10T11:51:28.095-0500,,501.573,2.950,170
11:51:29.095 AM,1770742289.095,2026-02-10T11:51:29.095-0500,,504.523,2.950,171
11:51:30.095 AM,1770742290.095,2026-02-10T11:51:30.095-0500,,507.474,2.950,172
11:51:31.095 AM,1770742291.095,2026-02-10T11:51:31.095-0500,,510.424,2.950,173
11:51:32.095 AM,1770742292.095,2026-02-10T11:51:32.095-0500,,513.375,2.950,174
11:51:33.095 AM,1770742293.095,2026-02-10T11:51:33.095-0500,,516.325,2.950,175
11:51:34.095 AM,1770742294.095,2026-02-10T11:51:34.095-0500,,519.276,2.950,176
11:51:35.095 AM,1770742295.095,2026-02-10T11:51:35.095-0500,,522.226,2.950,177
11:51:36.095 AM,1770742296.095,2026-02-10T11:51:36.095-0500,,525.176,2.950,178
11:51:37.095 AM,1770742297.095,2026-02-10T11:51:37.095-0500,,528.127,2.950,179
11:51:38.095 AM,1770742298.095,2026-02-10T11:51:38.095-0500,,531.077,2.950,180
11:51:39.095 AM,1770742299.095,2026-02-10T11:51:39.095-0500,,534.028,2.950,181
11:51:40.095 AM,1770742300.095,2026-02-10T11:51:40.095-0500,,536.978,2.950,182
11:51:41.095 AM,1770742301.095,2026-02-10T11:51:41.095-0500,,539.929,2.950,183
11:51:42.095 AM,1770742302.095,2026-02-10T11:51:42.095-0500,,542.879,2.950,184
11:51:43.095 AM,1770742303.095,2026-02-10T11:51:43.095-0500,,545.829,2.950,185
11:51:44.095 AM,1770742304.095,2026-02-10T11:51:44.095-0500,,548.780,2.950,186
11:51:45.095 AM,1770742305.095,2026-02-10T11:51:45.095-0500,,551.730,2.950,187
11:51:46.095 AM,1770742306.095,2026-02-10T11:51:46.095-0500,,554.681,2.950,188
11:51:47.095 AM,1770742307.095,2026-02-10T11:51:47.095-0500,164,557.631,2.950,189
11:51:48.095 AM,1770742308.095,2026-02-10T11:51:48.095-0500,164,560.582,2.950,190
11:51:49.095 AM,1770742309.095,2026-02-10T11:51:49.095-0500,164,563.532,2.950,191
11:51:50.095 AM,1770742310.095,2026-02-10T11:51:50.095-0500,164,566.482,2.950,192
11:51:51.095 AM,1770742311.095,2026-02-10T11:51:51.095-0500,164,569.433,2.950,193
11:51:52.095 AM,1770742312.095,2026-02-10T11:51:52.095-0500,164,572.383,2.950,194
11:51:53.095 AM,1770742313.095,2026-02-10T11:51:53.095-0500,164,575.334,2.950,195
11:51:54.095 AM,1770742314.095,2026-02-10T11:51:54.095-0500,164,578.284,2.950,196
11:51:55.095 AM,1770742315.095,2026-02-10T11:51:55.095-0500,164,581.235,2.950,197
11:51:56.095 AM,1770742316.095,2026-02-10T11:51:56.095-0500,164,584.185,2.950,198
11:51:57.095 AM,1770742317.095,2026-02-10T11:51:57.095-0500,164,587.135,2.950,199
11:51:58.095 AM,1770742318.095,2026-02-10T11:51:58.095-0500,164,590.086,2.950,200
11:51:59.095 AM,1770742319.095,2026-02-10T11:51:59.095-0500,,593.036,2.950,201
11:52:00.095 AM,1770742320.095,2026-02-10T11:52:00.095-0500,,595.987,2.950,202
11:52:01.095 AM,1770742321.095,2026-02-10T11:52:01.095-0500,,598.937,2.950,203
11:52:02.095 AM,1770742322.095,2026-02-10T11:52:02.095-0500,,601.888,2.950,204
11:52:03.095 AM,1770742323.095,2026-02-10T11:52:03.095-0500,,604.838,2.950,205
11:52:04.095 AM,1770742324.095,2026-02-10T11:52:04.095-0500,,607.788,2.950,206
11:52:05.095 AM,1770742325.095,2026-02-10T11:52:05.095-0500,,610.739,2.950,207
11:52:06.095 AM,1770742326.095,2026-02-10T11:52:06.095-0500,,613.689,2.950,208
11:52:07.095 AM,1770742327.095,2026-02-10T11:52:07.095-0500,,616.640,2.950,209
11:52:08.095 AM,1770742328.095,2026-02-10T11:52:08.095-0500,,619.590,2.950,210
11:52:09.095 AM,1770742329.095,2026-02-10T11:52:09.095-0500,,622.541,2.950,211
11:52:10.095 AM,1770742330.095,2026-02-10T11:52:10.095-0500,160,625.491,2.950,212
11:52:11.095 AM,1770742331.095,2026-02-10T11:52:11.095-0500,160,628.441,2.950,213
11:52:12.095 AM,1770742332.095,2026-02-10T11:52:12.095-0500,160,631.392,2.950,214
11:52:13.095 AM,1770742333.095,2026-02-10T11:52:13.095-0500,160,634.342,2.950,215
11:52:14.095 AM,1770742334.095,2026-02-10T11:52:14.095-0500,160,637.293,2.950,216
11:52:15.095 AM,1770742335.095,2026-02-10T11:52:15.095-0500,160,640.243,2.950,217
11:52:16.095 AM,1770742336.095,2026-02-10T11:52:16.095-0500,160,643.194,2.950,218
11:52:17.095 AM,1770742337.095,2026-02-10T11:52:17.095-0500,160,646.144,2.950,219
11:52:18.095 AM,1770742338.095,2026-02-10T11:52:18.095-0500,160,649.094,2.950,220
11:52:19.095 AM,1770742339.095,2026-02-10T11:52:19.095-0500,160,652.045,2.950,221
11:52:20.095 AM,1770742340.095,2026-02-10T11:52:20.095-0500,160,654.995,2.950,222
11:52:21.095 AM,1770742341.095,2026-02-10T11:52:21.095-0500,,657.946,2.950,223
11:52:22.095 AM,1770742342.095,2026-02-10T11:52:22.095-0500,,660.896,2.950,224
11:52:23.095 AM,1770742343.095,2026-02-10T11:52:23.095-0500,,663.847,2.950,225
11:52:24.095 AM,1770742344.095,2026-02-10T11:52:24.095-0500,,666.797,2.950,226
11:52:25.095 AM,1770742345.095,2026-02-10T11:52:25.095-0500,,669.747,2.950,227
11:52:26.095 AM,1770742346.095,2026-02-10T11:52:26.095-0500,,672.698,2.950,228
11:52:27.095 AM,1770742347.095,2026-02-10T11:52:27.095-0500,,675.648,2.950,229
11:52:28.095 AM,1770742348.095,2026-02-10T11:52:28.095-0500,,678.599,2.950,230
11:52:29.095 AM,1770742349.095,2026-02-10T11:52:29.095-0500,,681.549,2.950,231
11:52:30.095 AM,1770742350.095,2026-02-10T11:52:30.095-0500,,684.500,2.950,232
11:52:31.095 AM,1770742351.095,2026-02-10T11:52:31.095-0500,,687.450,2.950,233
11:52:32.095 AM,1770742352.095,2026-02-10T11:52:32.095-0500,,690.400,2.950,234
11:52:33.095 AM,1770742353.095,2026-02-10T11:52:33.095-0500,,693.351,2.950,235
11:52:34.095 AM,1770742354.095,2026-02-10T11:52:34.095-0500,,696.301,2.950,236
11:52:35.095 AM,1770742355.095,2026-02-10T11:52:35.095-0500,,699.252,2.950,237
11:52:36.095 AM,1770742356.095,2026-02-10T11:52:36.095-0500,,702.202,2.950,238
11:52:37.095 AM,1770742357.095,2026-02-10T11:52:37.095-0500,,705.153,2.950,239
11:52:38.095 AM,1770742358.095,2026-02-10T11:52:38.095-0500,,708.103,2.950,240
11:52:39.095 AM,1770742359.095,2026-02-10T11:52:39.095-0500,,711.053,2.950,241
11:52:40.095 AM,1770742360.095,2026-02-10T11:52:40.095-0500,,714.004,2.950,242
11:52:41.095 AM,1770742361.095,2026-02-10T11:52:41.095-0500,,716.954,2.950,243
11:52:42.095 AM,1770742362.095,2026-02-10T11:52:42.095-0500,,719.905,2.950,244
11:52:43.095 AM,1770742363.095,2026-02-10T11:52:43.095-0500,162,722.855,2.950,245
11:52:44.095 AM,1770742364.095,2026-02-10T11:52:44.095-0500,162,725.806,2.950,246
11:52:45.095 AM,1770742365.095,2026-02-10T11:52:45.095-0500,164,728.756,2.950,247
