date,timestamp,ISO8601,hr (count/min),distance (meter),speed (m/s),since_start
12:03:15.263 PM,1770915795.263,2026-02-12T12:03:15.263-0500,,,,
12:03:15.263 PM,1770915795.263,2026-02-12T12:03:15.263-0500,,0.000,2.376,0
12:03:16.263 PM,1770915796.263,2026-02-12T12:03:16.263-0500,62,2.376,2.376,1
12:03:17.263 PM,1770915797.263,2026-02-12T12:03:17.263-0500,62,4.752,2.376,2
12:03:18.263 PM,1770915798.263,2026-02-12T12:03:18.263-0500,62,7.129,2.376,3
12:03:19.263 PM,1770915799.263,2026-02-12T12:03:19.263-0500,62,9.505,2.376,4
12:03:20.263 PM,1770915800.263,2026-02-12T12:03:20.263-0500,61,11.881,2.376,5
12:03:21.263 PM,1770915801.263,2026-02-12T12:03:21.263-0500,61,14.257,2.376,6
12:03:22.263 PM,1770915802.263,2026-02-12T12:03:22.263-0500,61,16.633,2.376,7
12:03:23.263 PM,1770915803.263,2026-02-12T12:03:23.263-0500,61,19.009,2.376,8
12:03:24.263 PM,1770915804.263,2026-02-12T12:03:24.263-0500,62,21.386,2.376,9
12:03:25.263 PM,1770915805.263,2026-02-12T12:03:25.263-0500,62,23.762,2.376,10
12:03:26.263 PM,1770915806.263,2026-02-12T12:03:26.263-0500,62,26.138,2.376,11
12:03:27.263 PM,1770915807.263,2026-02-12T12:03:27.263-0500,62,28.514,2.376,12
12:03:28.263 PM,1770915808.263,2026-02-12T12:03:28.263-0500,64,30.890,2.376,13
12:03:29.263 PM,1770915809.263,2026-02-12T12:03:29.263-0500,66,33.266,2.376,14
12:03:30.263 PM,1770915810.263,2026-02-12T12:03:30.263-0500,66,35.643,2.376,15
12:03:31.263 PM,1770915811.263,2026-02-12T12:03:31.263-0500,66,38.019,2.376,16
12:03:32.263 PM,1770915812.263,2026-02-12T12:03:32.263-0500,66,40.395,2.376,17
12:03:33.263 PM,1770915813.263,2026-02-12T12:03:33.263-0500,66,42.771,2.376,18
12:03:34.263 PM,1770915814.263,2026-02-12T12:03:34.263-0500,66,45.147,2.376,19
12:03:35.263 PM,1770915815.263,2026-02-12T12:03:35.263-0500,,47.524,2.376,20
12:03:36.263 PM,1770915816.263,2026-02-12T12:03:36.263-0500,,49.900,2.376,21
12:03:37.263 PM,1770915817.263,2026-02-12T12:03:37.263-0500,,52.276,2.376,22
12:03:38.263 PM,1770915818.263,2026-02-12T12:03:38.263-0500,,54.652,2.376,23
12:03:39.263 PM,1770915819.263,2026-02-12T12:03:39.263-0500,,57.028,2.376,24
12:03:40.263 PM,1770915820.263,2026-02-12T12:03:40.263-0500,,59.404,2.376,25
12:03:41.263 PM,1770915821.263,2026-02-12T12:03:41.263-0500,,61.781,2.376,26
12:03:42.263 PM,1770915822.263,2026-02-12T12:03:42.263-0500,,64.157,2.376,27
12:03:43.263 PM,1770915823.263,2026-02-12T12:03:43.263-0500,,66.533,2.376,28
12:03:44.263 PM,1770915824.263,2026-02-12T12:03:44.263-0500,,68.909,2.376,29
12:03:45.263 PM,1770915825.263,2026-02-12T12:03:45.263-0500,,71.285,2.376,30
12:03:46.263 PM,1770915826.263,2026-02-12T12:03:46.263-0500,,73.662,2.376,31
12:03:47.263 PM,1770915827.263,2026-02-12T12:03:47.263-0500,,76.038,2.376,32
12:03:48.263 PM,1770915828.263,2026-02-12T12:03:48.263-0500,,78.414,2.376,33
12:03:49.263 PM,1770915829.263,2026-02-12T12:03:49.263-0500,,80.790,2.376,34
12:03:50.263 PM,1770915830.263,2026-02-12T12:03:50.263-0500,,83.166,2.376,35
12:03:51.263 PM,1770915831.263,2026-02-12T12:03:51.263-0500,,85.542,2.376,36
12:03:52.263 PM,1770915832.263,2026-02-12T12:03:52.263-0500,97,87.919,2.376,37
12:03:53.263 PM,1770915833.263,2026-02-12T12:03:53.263-0500,97,90.295,2.376,38
12:03:54.263 PM,1770915834.263,2026-02-12T12:03:54.263-0500,97,92.671,2.376,39
12:03:55.263 PM,1770915835.263,2026-02-12T12:03:55.263-0500,97,95.047,2.376,40
12:03:56.263 PM,1770915836.263,2026-02-12T12:03:56.263-0500,97,97.423,2.376,41
12:03:57.263 PM,1770915837.263,2026-02-12T12:03:57.263-0500,97,99.799,2.376,42
12:03:58.263 PM,1770915838.263,2026-02-12T12:03:58.263-0500,97,102.176,2.376,43
12:03:59.263 PM,1770915839.263,2026-02-12T12:03:59.263-0500,97,104.552,2.376,44
12:04:00.263 PM,1770915840.263,2026-02-12T12:04:00.263-0500,97,106.928,2.376,45
12:04:01.263 PM,1770915841.263,2026-02-12T12:04:01.263-0500,98,109.304,2.376,46
12:04:02.263 PM,1770915842.263,2026-02-12T12:04:02.263-0500,98,111.680,2.376,47
12:04:03.263 PM,1770915843.263,2026-02-12T12:04:03.263-0500,98,114.057,2.376,48
12:04:04.263 PM,1770915844.263,2026-02-12T12:04:04.263-0500,98,116.433,2.376,49
12:04:05.263 PM,1770915845.263,2026-02-12T12:04:05.263-0500,99,118.809,2.376,50
12:04:06.263 PM,1770915846.263,2026-02-12T12:04:06.263-0500,101,121.185,2.376,51
12:04:07.263 PM,1770915847.263,2026-02-12T12:04:07.263-0500,102,123.561,2.376,52
12:04:08.263 PM,1770915848.263,2026-02-12T12:04:08.263-0500,103,125.937,2.376,53
12:04:09.263 PM,1770915849.263,2026-02-12T12:04:09.263-0500,105,128.314,2.376,54
12:04:10.263 PM,1770915850.263,2026-02-12T12:04:10.263-0500,,130.690,2.376,55
12:04:11.263 PM,1770915851.263,2026-02-12T12:04:11.263-0500,,133.066,2.376,56
12:04:12.263 PM,1770915852.263,2026-02-12T12:04:12.263-0500,,135.442,2.376,57
12:04:13.263 PM,1770915853.263,2026-02-12T12:04:13.263-0500,,137.818,2.376,58
12:04:14.263 PM,1770915854.263,2026-02-12T12:04:14.263-0500,,140.195,2.376,59
12:04:15.263 PM,1770915855.263,2026-02-12T12:04:15.263-0500,,142.571,2.376,60
12:04:16.263 PM,1770915856.263,2026-02-12T12:04:16.263-0500,,144.947,2.376,61
12:04:17.263 PM,1770915857.263,2026-02-12T12:04:17.263-0500,,147.323,2.376,62
12:04:18.263 PM,1770915858.263,2026-02-12T12:04:18.263-0500,,149.699,2.376,63
12:04:19.263 PM,1770915859.263,2026-02-12T12:04:19.263-0500,,152.075,2.376,64
12:04:20.263 PM,1770915860.263,2026-02-12T12:04:20.263-0500,,154.452,2.376,65
12:04:21.263 PM,1770915861.263,2026-02-12T12:04:21.263-0500,,156.828,2.376,66
12:04:22.263 PM,1770915862.263,2026-02-12T12:04:22.263-0500,,159.204,2.376,67
12:04:23.263 PM,1770915863.263,2026-02-12T12:04:23.263-0500,,161.580,2.376,68
12:04:24.263 PM,1770915864.263,2026-02-12T12:04:24.263-0500,,163.956,2.376,69
12:04:25.263 PM,1770915865.263,2026-02-12T12:04:25.263-0500,,166.332,2.376,70
12:04:26.263 PM,1770915866.263,2026-02-12T12:04:26.263-0500,,168.709,2.376,71
12:04:27.263 PM,1770915867.263,2026-02-12T12:04:27.263-0500,,171.085,2.376,72
12:04:28.263 PM,1770915868.263,2026-02-12T12:04:28.263-0500,,173.461,2.376,73
12:04:29.263 PM,1770915869.263,2026-02-12T12:04:29.263-0500,,175.837,2.376,74
12:04:30.263 PM,1770915870.263,2026-02-12T12:04:30.263-0500,,178.213,2.376,75
12:04:31.263 PM,1770915871.263,2026-02-12T12:04:31.263-0500,,180.590,2.376,76
12:04:32.263 PM,1770915872.263,2026-02-12T12:04:32.263-0500,,182.966,2.376,77
12:04:33.263 PM,1770915873.263,2026-02-12T12:04:33.263-0500,,185.342,2.376,78
12:04:34.263 PM,1770915874.263,2026-02-12T12:04:34.263-0500,,187.718,2.376,79
12:04:35.263 PM,1770915875.263,2026-02-12T12:04:35.263-0500,,190.094,2.376,80
12:04:36.263 PM,1770915876.263,2026-02-12T12:04:36.263-0500,,192.470,2.376,81
12:04:37.263 PM,1770915877.263,2026-02-12T12:04:37.263-0500,,194.847,2.376,82
12:04:38.263 PM,1770915878.263,2026-02-12T12:04:38.263-0500,120,197.223,2.376,83
12:04:39.263 PM,1770915879.263,2026-02-12T12:04:39.263-0500,120,199.599,2.376,84
12:04:40.263 PM,1770915880.263,2026-02-12T12:04:40.263-0500,119,201.975,2.376,85
12:04:41.263 PM,1770915881.263,2026-02-12T12:04:41.263-0500,119,204.351,2.376,86
12:04:42.263 PM,1770915882.263,2026-02-12T12:04:42.263-0500,118,206.728,2.376,87
12:04:43.263 PM,1770915883.263,2026-02-12T12:04:43.263-0500,117,209.104,2.376,88
12:04:44.263 PM,1770915884.263,2026-02-12T12:04:44.263-0500,116,211.480,2.376,89
12:04:45.263 PM,1770915885.263,2026-02-12T12:04:45.263-0500,116,213.856,2.376,90
12:04:46.263 PM,1770915886.263,2026-02-12T12:04:46.263-0500,116,216.232,2.376,91
12:04:47.263 PM,1770915887.263,2026-02-12T12:04:47.263-0500,116,218.608,2.376,92
12:04:48.263 PM,1770915888.263,2026-02-12T12:04:48.263-0500,116,220.985,2.376,93
12:04:49.263 PM,1770915889.263,2026-02-12T12:04:49.263-0500,116,223.361,2.376,94
12:04:50.263 PM,1770915890.263,2026-02-12T12:04:50.263-0500,116,225.737,2.376,95
12:04:51.263 PM,1770915891.263,2026-02-12T12:04:51.263-0500,116,228.113,2.376,96
12:04:52.263 PM,1770915892.263,2026-02-12T12:04:52.263-0500,116,230.489,2.376,97
12:04:53.263 PM,1770915893.263,2026-02-12T12:04:53.263-0500,116,232.865,2.376,98
12:04:54.263 PM,1770915894.263,2026-02-12T12:04:54.263-0500,116,235.242,2.376,99
12:04:55.263 PM,1770915895.263,2026-02-12T12:04:55.263-0500,116,237.618,2.376,100
12:04:56.263 PM,1770915896.263,2026-02-12T12:04:56.263-0500,116,239.994,2.376,101
12:04:57.263 PM,1770915897.263,2026-02-12T12:04:57.263-0500,116,242.370,2.376,102
12:04:58.263 PM,1770915898.263,2026-02-12T12:04:58.263-0500,116,244.746,2.376,103
12:04:59.263 PM,1770915899.263,2026-02-12T12:04:59.263-0500,116,247.123,2.376,104
12:05:00.263 PM,1770915900.263,2026-02-12T12:05:00.263-0500,116,249.499,2.376,105
12:05:01.263 PM,1770915901.263,2026-02-12T12:05:01.263-0500,,251.875,2.376,106
12:05:02.263 PM,1770915902.263,2026-02-12T12:05:02.263-0500,,254.251,2.376,107
12:05:03.263 PM,1770915903.263,2026-02-12T12:05:03.263-0500,,256.627,2.376,108
12:05:04.263 PM,1770915904.263,2026-02-12T12:05:04.263-0500,,259.003,2.376,109
12:05:05.263 PM,1770915905.263,2026-02-12T12:05:05.263-0500,,261.380,2.376,110
12:05:06.263 PM,1770915906.263,2026-02-12T12:05:06.263-0500,,263.756,2.376,111
12:05:07.263 PM,1770915907.263,2026-02-12T12:05:07.263-0500,,266.132,2.376,112
12:05:08.263 PM,1770915908.263,2026-02-12T12:05:08.263-0500,,268.508,2.376,113
12:05:09.263 PM,1770915909.263,2026-02-12T12:05:09.263-0500,,270.884,2.376,114
12:05:10.263 PM,1770915910.263,2026-02-12T12:05:10.263-0500,,273.261,2.376,115
12:05:11.263 PM,1770915911.263,2026-02-12T12:05:11.263-0500,,275.637,2.376,116
12:05:12.263 PM,1770915912.263,2026-02-12T12:05:12.263-0500,,278.013,2.376,117
12:05:13.263 PM,1770915913.263,2026-02-12T12:05:13.263-0500,,280.389,2.376,118
12:05:14.263 PM,1770915914.263,2026-02-12T12:05:14.263-0500,,282.765,2.376,119
12:05:15.263 PM,1770915915.263,2026-02-12T12:05:15.263-0500,,285.141,2.376,120
12:05:16.263 PM,1770915916.263,2026-02-12T12:05:16.263-0500,,287.518,2.376,121
12:05:17.263 PM,1770915917.263,2026-02-12T12:05:17.263-0500,,289.894,2.376,122
12:05:18.263 PM,1770915918.263,2026-02-12T12:05:18.263-0500,,292.270,2.376,123
12:05:19.263 PM,1770915919.263,2026-02-12T12:05:19.263-0500,,294.646,2.376,124
12:05:20.263 PM,1770915920.263,2026-02-12T12:05:20.263-0500,,297.022,2.376,125
12:05:21.263 PM,1770915921.263,2026-02-12T12:05:21.263-0500,,299.398,2.376,126
12:05:22.263 PM,1770915922.263,2026-02-12T12:05:22.263-0500,,301.775,2.376,127
12:05:23.263 PM,1770915923.263,2026-02-12T12:05:23.263-0500,,304.151,2.376,128
12:05:24.263 PM,1770915924.263,2026-02-12T12:05:24.263-0500,,306.527,2.376,129
12:05:25.263 PM,1770915925.263,2026-02-12T12:05:25.263-0500,,308.903,2.376,130
12:05:26.263 PM,1770915926.263,2026-02-12T12:05:26.263-0500,,311.279,2.376,131
12:05:27.263 PM,1770915927.263,2026-02-12T12:05:27.263-0500,,313.656,2.376,132
12:05:28.263 PM,1770915928.263,2026-02-12T12:05:28.263-0500,,316.032,2.376,133
12:05:29.263 PM,1770915929.263,2026-02-12T12:05:29.263-0500,,318.408,2.376,134
12:05:30.263 PM,1770915930.263,2026-02-12T12:05:30.263-0500,,320.784,2.376,135
12:05:31.263 PM,1770915931.263,2026-02-12T12:05:31.263-0500,,323.160,2.376,136
12:05:32.263 PM,1770915932.263,2026-02-12T12:05:32.263-0500,,325.536,2.376,137
12:05:33.263 PM,1770915933.263,2026-02-12T12:05:33.263-0500,,327.913,2.376,138
12:05:34.263 PM,1770915934.263,2026-02-12T12:05:34.263-0500,,330.289,2.376,139
12:05:35.263 PM,1770915935.263,2026-02-12T12:05:35.263-0500,,332.665,2.376,140
12:05:36.263 PM,1770915936.263,2026-02-12T12:05:36.263-0500,,335.041,2.376,141
12:05:37.263 PM,1770915937.263,2026-02-12T12:05:37.263-0500,,337.417,2.376,142
12:05:38.263 PM,1770915938.263,2026-02-12T12:05:38.263-0500,,339.793,2.376,143
12:05:39.263 PM,1770915939.263,2026-02-12T12:05:39.263-0500,,342.170,2.376,144
12:05:40.263 PM,1770915940.263,2026-02-12T12:05:40.263-0500,,344.546,2.376,145
12:05:41.263 PM,1770915941.263,2026-02-12T12:05:41.263-0500,,346.922,2.376,146
12:05:42.263 PM,1770915942.263,2026-02-12T12:05:42.263-0500,,349.298,2.376,147
12:05:43.263 PM,1770915943.263,2026-02-12T12:05:43.263-0500,,351.674,2.376,148
12:05:44.263 PM,1770915944.263,2026-02-12T12:05:44.263-0500,,354.051,2.376,149
12:05:45.263 PM,1770915945.263,2026-02-12T12:05:45.263-0500,,356.427,2.376,150
12:05:46.263 PM,1770915946.263,2026-02-12T12:05:46.263-0500,,358.803,2.376,151
12:05:47.263 PM,1770915947.263,2026-02-12T12:05:47.263-0500,,361.179,2.376,152
12:05:48.263 PM,1770915948.263,2026-02-12T12:05:48.263-0500,,363.555,2.376,153
12:05:49.263 PM,1770915949.263,2026-02-12T12:05:49.263-0500,,365.931,2.376,154
12:05:50.263 PM,1770915950.263,2026-02-12T12:05:50.263-0500,,368.308,2.376,155
12:05:51.263 PM,1770915951.263,2026-02-12T12:05:51.263-0500,,370.684,2.376,156
12:05:52.263 PM,1770915952.263,2026-02-12T12:05:52.263-0500,,373.060,2.376,157
12:05:53.263 PM,1770915953.263,2026-02-12T12:05:53.263-0500,,375.436,2.376,158
12:05:54.263 PM,1770915954.263,2026-02-12T12:05:54.263-0500,,377.812,2.376,159
12:05:55.263 PM,1770915955.263,2026-02-12T12:05:55.263-0500,,380.189,2.376,160
12:05:56.263 PM,1770915956.263,2026-02-12T12:05:56.263-0500,,382.565,2.376,161
12:05:57.263 PM,1770915957.263,2026-02-12T12:05:57.263-0500,,384.941,2.376,162
12:05:58.263 PM,1770915958.263,2026-02-12T12:05:58.263-0500,,387.317,2.376,163
12:05:59.263 PM,1770915959.263,2026-02-12T12:05:59.263-0500,,389.693,2.376,164
12:06:00.263 PM,1770915960.263,2026-02-12T12:06:00.263-0500,,392.069,2.376,165
12:06:01.263 PM,1770915961.263,2026-02-12T12:06:01.263-0500,,394.446,2.376,166
12:06:02.263 PM,1770915962.263,2026-02-12T12:06:02.263-0500,,396.822,2.376,167
12:06:03.263 PM,1770915963.263,2026-02-12T12:06:03.263-0500,,399.198,2.376,168
12:06:04.263 PM,1770915964.263,2026-02-12T12:06:04.263-0500,,401.574,2.376,169
12:06:05.263 PM,1770915965.263,2026-02-12T12:06:05.263-0500,,403.950,2.376,170
12:06:06.263 PM,1770915966.263,2026-02-12T12:06:06.263-0500,,406.326,2.376,171
12:06:07.263 PM,1770915967.263,2026-02-12T12:06:07.263-0500,,408.703,2.376,172
12:06:08.263 PM,1770915968.263,2026-02-12T12:06:08.263-0500,,411.079,2.376,173
12:06:09.263 PM,1770915969.263,2026-02-12T12:06:09.263-0500,132,413.455,2.376,174
12:06:10.263 PM,1770915970.263,2026-02-12T12:06:10.263-0500,132,415.831,2.376,175
12:06:11.263 PM,1770915971.263,2026-02-12T12:06:11.263-0500,134,418.207,2.376,176
12:06:12.263 PM,1770915972.263,2026-02-12T12:06:12.263-0500,134,420.584,2.376,177
12:06:13.263 PM,1770915973.263,2026-02-12T12:06:13.263-0500,134,422.960,2.376,178
12:06:14.263 PM,1770915974.263,2026-02-12T12:06:14.263-0500,134,425.336,2.376,179
12:06:15.263 PM,1770915975.263,2026-02-12T12:06:15.263-0500,135,427.712,2.376,180
12:06:16.263 PM,1770915976.263,2026-02-12T12:06:16.263-0500,136,430.088,2.376,181
12:06:17.263 PM,1770915977.263,2026-02-12T12:06:17.263-0500,137,432.464,2.376,182
12:06:18.263 PM,1770915978.263,2026-02-12T12:06:18.263-0500,137,434.841,2.376,183
12:06:19.263 PM,1770915979.263,2026-02-12T12:06:19.263-0500,137,437.217,2.376,184
12:06:20.263 PM,1770915980.263,2026-02-12T12:06:20.263-0500,137,439.593,2.376,185
12:06:21.263 PM,1770915981.263,2026-02-12T12:06:21.263-0500,137,441.969,2.376,186
12:06:22.263 PM,1770915982.263,2026-02-12T12:06:22.263-0500,137,444.345,2.376,187
12:06:23.263 PM,1770915983.263,2026-02-12T12:06:23.263-0500,138,446.722,2.376,188
12:06:24.263 PM,1770915984.263,2026-02-12T12:06:24.263-0500,138,449.098,2.376,189
12:06:25.263 PM,1770915985.263,2026-02-12T12:06:25.263-0500,138,451.474,2.376,190
12:06:26.263 PM,1770915986.263,2026-02-12T12:06:26.263-0500,138,453.850,2.376,191
12:06:27.263 PM,1770915987.263,2026-02-12T12:06:27.263-0500,138,456.226,2.376,192
12:06:28.263 PM,1770915988.263,2026-02-12T12:06:28.263-0500,138,458.602,2.376,193
12:06:29.263 PM,1770915989.263,2026-02-12T12:06:29.263-0500,138,460.979,2.376,194
12:06:30.263 PM,1770915990.263,2026-02-12T12:06:30.263-0500,138,463.355,2.376,195
12:06:31.263 PM,1770915991.263,2026-02-12T12:06:31.263-0500,139,465.731,2.376,196
12:06:32.263 PM,1770915992.263,2026-02-12T12:06:32.263-0500,140,468.107,2.376,197
12:06:33.263 PM,1770915993.263,2026-02-12T12:06:33.263-0500,140,470.483,2.376,198
12:06:34.263 PM,1770915994.263,2026-02-12T12:06:34.263-0500,140,472.859,2.376,199
12:06:35.263 PM,1770915995.263,2026-02-12T12:06:35.263-0500,140,475.236,2.376,200
12:06:36.263 PM,1770915996.263,2026-02-12T12:06:36.263-0500,140,477.612,2.376,201
12:06:37.263 PM,1770915997.263,2026-02-12T12:06:37.263-0500,140,479.988,2.376,202
12:06:38.263 PM,1770915998.263,2026-02-12T12:06:38.263-0500,140,482.364,2.376,203
12:06:39.263 PM,1770915999.263,2026-02-12T12:06:39.263-0500,141,484.740,2.376,204
12:06:40.263 PM,1770916000.263,2026-02-12T12:06:40.263-0500,141,487.117,2.376,205
12:06:41.263 PM,1770916001.263,2026-02-12T12:06:41.263-0500,141,489.493,2.376,206
12:06:42.263 PM,1770916002.263,2026-02-12T12:06:42.263-0500,141,491.869,2.376,207
12:06:43.263 PM,1770916003.263,2026-02-12T12:06:43.263-0500,143,494.245,2.376,208
