timestamp,cadence
1770915793,
1770915794,
1770915795,47
1770915795,
1770915796,47
1770915796,
1770915797,47
1770915797,
1770915798,49
1770915798,
1770915799,56
1770915799,
1770915800,62
1770915800,
1770915801,69
1770915801,
1770915802,74
1770915802,
1770915803,77
1770915803,
1770915804,78
1770915804,
1770915805,77
1770915805,
1770915806,77
1770915806,
1770915807,75
1770915807,
1770915808,75
1770915808,
1770915809,75
1770915809,
1770915810,75
1770915810,
1770915811,75
1770915811,
1770915812,75
1770915812,
1770915813,75
1770915813,
1770915814,75
1770915814,
1770915815,75
1770915815,
1770915816,75
1770915816,
1770915817,75
1770915817,
1770915818,75
1770915818,
1770915819,75
1770915819,
1770915820,76
1770915820,
1770915821,76
1770915821,
1770915822,76
1770915822,
1770915823,76
1770915823,
1770915824,76
1770915824,
1770915825,76
1770915825,
1770915826,77
1770915826,
1770915827,76
1770915827,
1770915828,76
1770915828,
1770915829,76
1770915829,
1770915830,76
1770915830,
1770915831,76
1770915831,
1770915832,76
1770915832,
1770915833,76
1770915833,
1770915834,76
1770915834,
1770915835,77
1770915835,
1770915836,78
1770915836,
1770915837,78
1770915837,
1770915838,78
1770915838,
1770915839,77
1770915839,
1770915840,76
1770915840,
1770915841,76
1770915841,
1770915842,76
1770915842,
1770915843,75
1770915843,
1770915844,75
1770915844,
1770915845,76
1770915845,
1770915846,76
1770915846,
1770915847,76
1770915847,
1770915848,76
1770915848,
1770915849,76
1770915849,
1770915850,76
1770915850,
1770915851,76
1770915851,
1770915852,76
1770915852,
1770915853,75
1770915853,
1770915854,75
1770915854,
1770915855,75
1770915855,
1770915856,75
1770915856,
1770915857,76
1770915857,
1770915858,77
1770915858,
1770915859,77
1770915859,
1770915860,77
1770915860,
1770915861,78
1770915861,
1770915862,77
1770915862,
1770915863,77
1770915863,
1770915864,77
1770915864,
1770915865,77
1770915865,
1770915866,77
1770915866,
1770915867,77
1770915867,
1770915868,76
1770915868,
1770915869,76
1770915869,
1770915870,76
1770915870,
1770915871,76
1770915871,
1770915872,76
1770915872,
1770915873,76
1770915873,
1770915874,77
1770915874,
1770915875,77
1770915875,
1770915876,76
1770915876,
1770915877,76
1770915877,
1770915878,77
1770915878,
1770915879,77
1770915879,
1770915880,77
1770915880,
1770915881,76
1770915881,
1770915882,76
1770915882,
1770915883,76
1770915883,
1770915884,76
1770915884,
1770915885,76
1770915885,
1770915886,76
1770915886,
1770915887,76
1770915887,
1770915888,77
1770915888,
1770915889,77
1770915889,
1770915890,77
1770915890,
1770915891,77
1770915891,
1770915892,77
1770915892,
1770915893,77
1770915893,
1770915894,78
1770915894,
1770915895,77
1770915895,
1770915896,77
1770915896,
1770915897,77
1770915897,
1770915898,77
1770915898,
1770915899,76
1770915899,
1770915900,76
1770915900,
1770915901,76
1770915901,
1770915902,77
1770915902,
1770915903,77
1770915903,
1770915904,76
1770915904,
1770915905,76
1770915905,
1770915906,77
1770915906,
1770915907,77
1770915907,
1770915908,77
1770915908,
1770915909,77
1770915909,
1770915910,77
1770915910,
1770915911,77
1770915911,
1770915912,77
1770915912,
1770915913,76
1770915913,
1770915914,76
1770915914,
1770915915,76
1770915915,
1770915916,75
1770915916,
1770915917,76
1770915917,
1770915918,76
1770915918,
1770915919,76
1770915919,
1770915920,76
1770915920,
1770915921,77
1770915921,
1770915922,77
1770915922,
1770915923,77
1770915923,
1770915924,76
1770915924,
1770915925,75
1770915925,
1770915926,75
1770915926,
1770915927,75
1770915927,
1770915928,75
1770915928,
1770915929,75
1770915929,
1770915930,76
1770915930,
1770915931,75
1770915931,
1770915932,75
1770915932,
1770915933,75
1770915933,
1770915934,74
1770915934,
1770915935,74
1770915935,
1770915936,75
1770915936,
1770915937,75
1770915937,
1770915938,76
1770915938,
1770915939,75
1770915939,
1770915940,75
1770915940,
1770915941,75
1770915941,
1770915942,75
1770915942,
1770915943,75
1770915943,
1770915944,75
1770915944,
1770915945,76
1770915945,
1770915946,76
1770915946,
1770915947,76
1770915947,
1770915948,76
1770915948,
1770915949,75
1770915949,
1770915950,75
1770915950,
1770915951,75
1770915951,
1770915952,75
1770915952,
1770915953,75
1770915953,
1770915954,75
1770915954,
1770915955,75
1770915955,
1770915956,75
1770915956,
1770915957,75
1770915957,
1770915958,76
1770915958,
1770915959,75
1770915959,
1770915960,75
1770915960,
1770915961,75
1770915961,
1770915962,74
1770915962,
1770915963,75
1770915963,
1770915964,75
1770915964,
1770915965,75
1770915965,
1770915966,75
1770915966,
1770915967,75
1770915967,
1770915968,75
1770915968,
1770915969,76
1770915969,
1770915970,76
1770915970,
1770915971,76
1770915971,
1770915972,77
1770915972,
1770915973,77
1770915973,
1770915974,77
1770915974,
1770915975,76
1770915975,
1770915976,77
1770915976,
1770915977,76
1770915977,
1770915978,76
1770915978,
1770915979,76
1770915979,
1770915980,75
1770915980,
1770915981,75
1770915981,
1770915982,75
1770915982,
1770915983,75
1770915983,
1770915984,76
1770915984,
1770915985,76
1770915985,
1770915986,76
1770915986,
1770915987,76
1770915987,
1770915988,76
1770915988,
1770915989,76
1770915989,
1770915990,76
1770915990,
1770915991,76
1770915991,
1770915992,77
1770915992,
1770915993,77
1770915993,
1770915994,78
1770915994,
1770915995,78
1770915995,
1770915996,78
1770915996,
1770915997,78
1770915997,
1770915998,79
1770915998,
1770915999,78
1770915999,
1770916000,78
1770916000,
1770916001,78
1770916001,
1770916002,76
1770916002,
1770916003,76
1770916003,
1770916004,76
1770916004,
1770916005,76
1770916005,
1770916006,76
1770916006,
1770916007,77
1770916007,
1770916008,77
1770916008,
1770916009,76
1770916009,
1770916010,76
1770916010,
1770916011,76
1770916011,
1770916012,76
1770916012,
1770916013,76
1770916013,
1770916014,76
