date,timestamp,ISO8601,hr (count/min),distance (meter),speed (m/s),since_start
10:49:37.613 AM,1771084177.613,2026-02-14T10:49:37.612-0500,,,,
10:49:37.613 AM,1771084177.613,2026-02-14T10:49:37.612-0500,,0.000,2.427,0
10:49:38.613 AM,1771084178.613,2026-02-14T10:49:38.612-0500,59,2.427,2.427,1
10:49:39.613 AM,1771084179.613,2026-02-14T10:49:39.612-0500,59,4.854,2.427,2
10:49:40.613 AM,1771084180.613,2026-02-14T10:49:40.612-0500,59,7.280,2.427,3
10:49:41.613 AM,1771084181.613,2026-02-14T10:49:41.612-0500,58,9.707,2.427,4
10:49:42.613 AM,1771084182.613,2026-02-14T10:49:42.612-0500,58,12.134,2.427,5
10:49:43.613 AM,1771084183.613,2026-02-14T10:49:43.612-0500,58,14.561,2.427,6
10:49:44.613 AM,1771084184.613,2026-02-14T10:49:44.612-0500,58,16.987,2.427,7
10:49:45.613 AM,1771084185.613,2026-02-14T10:49:45.612-0500,59,19.414,2.427,8
10:49:46.613 AM,1771084186.613,2026-02-14T10:49:46.612-0500,59,21.841,2.427,9
10:49:47.613 AM,1771084187.613,2026-02-14T10:49:47.612-0500,59,24.268,2.427,10
10:49:48.613 AM,1771084188.613,2026-02-14T10:49:48.612-0500,60,26.695,2.427,11
10:49:49.613 AM,1771084189.613,2026-02-14T10:49:49.612-0500,60,29.121,2.427,12
10:49:50.613 AM,1771084190.613,2026-02-14T10:49:50.612-0500,60,31.548,2.427,13
10:49:51.613 AM,1771084191.613,2026-02-14T10:49:51.612-0500,60,33.975,2.427,14
10:49:52.613 AM,1771084192.613,2026-02-14T10:49:52.612-0500,60,36.402,2.427,15
10:49:53.613 AM,1771084193.613,2026-02-14T10:49:53.612-0500,60,38.828,2.427,16
10:49:54.613 AM,1771084194.613,2026-02-14T10:49:54.612-0500,60,41.255,2.427,17
10:49:55.613 AM,1771084195.613,2026-02-14T10:49:55.612-0500,62,43.682,2.427,18
10:49:56.613 AM,1771084196.613,2026-02-14T10:49:56.612-0500,63,46.109,2.427,19
10:49:57.613 AM,1771084197.613,2026-02-14T10:49:57.612-0500,63,48.535,2.427,20
10:49:58.613 AM,1771084198.613,2026-02-14T10:49:58.612-0500,63,50.962,2.427,21
10:49:59.613 AM,1771084199.613,2026-02-14T10:49:59.612-0500,63,53.389,2.427,22
10:50:00.613 AM,1771084200.613,2026-02-14T10:50:00.612-0500,63,55.816,2.427,23
10:50:01.613 AM,1771084201.613,2026-02-14T10:50:01.612-0500,63,58.243,2.427,24
10:50:02.613 AM,1771084202.613,2026-02-14T10:50:02.612-0500,65,60.669,2.427,25
10:50:03.613 AM,1771084203.613,2026-02-14T10:50:03.612-0500,65,63.096,2.427,26
10:50:04.613 AM,1771084204.613,2026-02-14T10:50:04.612-0500,65,65.523,2.427,27
10:50:05.613 AM,1771084205.613,2026-02-14T10:50:05.612-0500,,67.950,2.427,28
10:50:06.613 AM,1771084206.613,2026-02-14T10:50:06.612-0500,,70.376,2.427,29
10:50:07.613 AM,1771084207.613,2026-02-14T10:50:07.612-0500,,72.803,2.427,30
10:50:08.613 AM,1771084208.613,2026-02-14T10:50:08.612-0500,,75.230,2.427,31
10:50:09.613 AM,1771084209.613,2026-02-14T10:50:09.612-0500,,77.657,2.427,32
10:50:10.613 AM,1771084210.613,2026-02-14T10:50:10.612-0500,,80.084,2.427,33
10:50:11.613 AM,1771084211.613,2026-02-14T10:50:11.612-0500,,82.510,2.427,34
10:50:12.613 AM,1771084212.613,2026-02-14T10:50:12.612-0500,,84.937,2.427,35
10:50:13.613 AM,1771084213.613,2026-02-14T10:50:13.612-0500,,87.364,2.427,36
10:50:14.613 AM,1771084214.613,2026-02-14T10:50:14.612-0500,,89.791,2.427,37
10:50:15.613 AM,1771084215.613,2026-02-14T10:50:15.612-0500,,92.217,2.427,38
10:50:16.613 AM,1771084216.613,2026-02-14T10:50:16.612-0500,,94.644,2.427,39
10:50:17.613 AM,1771084217.613,2026-02-14T10:50:17.612-0500,,97.071,2.427,40
10:50:18.613 AM,1771084218.613,2026-02-14T10:50:18.612-0500,,99.498,2.427,41
10:50:19.613 AM,1771084219.613,2026-02-14T10:50:19.612-0500,,101.924,2.427,42
10:50:20.613 AM,1771084220.613,2026-02-14T10:50:20.612-0500,,104.351,2.427,43
10:50:21.613 AM,1771084221.613,2026-02-14T10:50:21.612-0500,,106.778,2.427,44
10:50:22.613 AM,1771084222.613,2026-02-14T10:50:22.612-0500,,109.205,2.427,45
10:50:23.613 AM,1771084223.613,2026-02-14T10:50:23.612-0500,,111.632,2.427,46
10:50:24.613 AM,1771084224.613,2026-02-14T10:50:24.612-0500,,114.058,2.427,47
10:50:25.613 AM,1771084225.613,2026-02-14T10:50:25.612-0500,,116.485,2.427,48
10:50:26.613 AM,1771084226.613,2026-02-14T10:50:26.612-0500,,118.912,2.427,49
10:50:27.613 AM,1771084227.613,2026-02-14T10:50:27.612-0500,,121.339,2.427,50
10:50:28.613 AM,1771084228.613,2026-02-14T10:50:28.612-0500,,123.765,2.427,51
10:50:29.613 AM,1771084229.613,2026-02-14T10:50:29.612-0500,,126.192,2.427,52
10:50:30.613 AM,1771084230.613,2026-02-14T10:50:30.612-0500,,128.619,2.427,53
10:50:31.613 AM,1771084231.613,2026-02-14T10:50:31.612-0500,,131.046,2.427,54
10:50:32.613 AM,1771084232.613,2026-02-14T10:50:32.612-0500,,133.473,2.427,55
10:50:33.613 AM,1771084233.613,2026-02-14T10:50:33.612-0500,,135.899,2.427,56
10:50:34.613 AM,1771084234.613,2026-02-14T10:50:34.612-0500,,138.326,2.427,57
10:50:35.613 AM,1771084235.613,2026-02-14T10:50:35.612-0500,,140.753,2.427,58
10:50:36.613 AM,1771084236.613,2026-02-14T10:50:36.612-0500,,143.180,2.427,59
