date,timestamp,ISO8601,hr (count/min),distance (meter),speed (m/s),since_start
11:58:10.676 AM,1771261090.676,2026-02-16T11:58:10.676-0500,,,,
11:58:10.676 AM,1771261090.676,2026-02-16T11:58:10.676-0500,,0.000,6.238,0
11:58:11.676 AM,1771261091.676,2026-02-16T11:58:11.676-0500,81,6.238,6.238,1
11:58:12.676 AM,1771261092.676,2026-02-16T11:58:12.676-0500,81,12.475,6.238,2
11:58:13.676 AM,1771261093.676,2026-02-16T11:58:13.676-0500,81,18.713,6.238,3
11:58:14.676 AM,1771261094.676,2026-02-16T11:58:14.676-0500,81,24.950,6.238,4
11:58:15.676 AM,1771261095.676,2026-02-16T11:58:15.676-0500,81,31.188,6.238,5
11:58:16.676 AM,1771261096.676,2026-02-16T11:58:16.676-0500,81,37.425,6.238,6
11:58:17.676 AM,1771261097.676,2026-02-16T11:58:17.676-0500,80,43.663,6.238,7
11:58:18.676 AM,1771261098.676,2026-02-16T11:58:18.676-0500,80,49.900,6.238,8
11:58:19.676 AM,1771261099.676,2026-02-16T11:58:19.676-0500,80,56.138,6.238,9
11:58:20.676 AM,1771261100.676,2026-02-16T11:58:20.676-0500,80,62.376,6.238,10
11:58:21.676 AM,1771261101.676,2026-02-16T11:58:21.676-0500,80,68.613,6.238,11
11:58:22.676 AM,1771261102.676,2026-02-16T11:58:22.676-0500,80,74.851,6.238,12
11:58:23.676 AM,1771261103.676,2026-02-16T11:58:23.676-0500,80,81.088,6.238,13
11:58:24.676 AM,1771261104.676,2026-02-16T11:58:24.676-0500,80,87.326,6.238,14
11:58:25.676 AM,1771261105.676,2026-02-16T11:58:25.676-0500,80,93.563,6.238,15
11:58:26.676 AM,1771261106.676,2026-02-16T11:58:26.676-0500,80,99.801,6.238,16
11:58:27.676 AM,1771261107.676,2026-02-16T11:58:27.676-0500,80,106.039,6.238,17
11:58:28.676 AM,1771261108.676,2026-02-16T11:58:28.676-0500,85,112.276,6.238,18
11:58:29.676 AM,1771261109.676,2026-02-16T11:58:29.676-0500,85,118.514,6.238,19
