date,timestamp,ISO8601,hr (count/min),distance (meter),speed (m/s),since_start
11:58:18.151 AM,1771347498.151,2026-02-17T11:58:18.151-0500,,,,
11:58:18.151 AM,1771347498.151,2026-02-17T11:58:18.151-0500,,0.000,3.046,0
11:58:19.151 AM,1771347499.151,2026-02-17T11:58:19.151-0500,,3.046,3.046,1
11:58:20.151 AM,1771347500.151,2026-02-17T11:58:20.151-0500,,6.092,3.046,2
11:58:21.151 AM,1771347501.151,2026-02-17T11:58:21.151-0500,,9.138,3.046,3
11:58:22.151 AM,1771347502.151,2026-02-17T11:58:22.151-0500,,12.184,3.046,4
11:58:23.151 AM,1771347503.151,2026-02-17T11:58:23.151-0500,,15.230,3.046,5
11:58:24.151 AM,1771347504.151,2026-02-17T11:58:24.151-0500,,18.276,3.046,6
11:58:25.151 AM,1771347505.151,2026-02-17T11:58:25.151-0500,,21.322,3.046,7
11:58:26.151 AM,1771347506.151,2026-02-17T11:58:26.151-0500,,24.368,3.046,8
11:58:27.151 AM,1771347507.151,2026-02-17T11:58:27.151-0500,,27.414,3.046,9
11:58:28.151 AM,1771347508.151,2026-02-17T11:58:28.151-0500,,30.460,3.046,10
11:58:29.151 AM,1771347509.151,2026-02-17T11:58:29.151-0500,,33.506,3.046,11
11:58:30.151 AM,1771347510.151,2026-02-17T11:58:30.151-0500,,36.552,3.046,12
11:58:31.151 AM,1771347511.151,2026-02-17T11:58:31.151-0500,,39.599,3.046,13
11:58:32.151 AM,1771347512.151,2026-02-17T11:58:32.151-0500,,42.645,3.046,14
11:58:33.151 AM,1771347513.151,2026-02-17T11:58:33.151-0500,,45.691,3.046,15
11:58:34.151 AM,1771347514.151,2026-02-17T11:58:34.151-0500,,48.737,3.046,16
11:58:35.151 AM,1771347515.151,2026-02-17T11:58:35.151-0500,,51.783,3.046,17
11:58:36.151 AM,1771347516.151,2026-02-17T11:58:36.151-0500,,54.829,3.046,18
11:58:37.151 AM,1771347517.151,2026-02-17T11:58:37.151-0500,,57.875,3.046,19
11:58:38.151 AM,1771347518.151,2026-02-17T11:58:38.151-0500,,60.921,3.046,20
11:58:39.151 AM,1771347519.151,2026-02-17T11:58:39.151-0500,,63.967,3.046,21
11:58:40.151 AM,1771347520.151,2026-02-17T11:58:40.151-0500,,67.013,3.046,22
11:58:41.151 AM,1771347521.151,2026-02-17T11:58:41.151-0500,,70.059,3.046,23
11:58:42.151 AM,1771347522.151,2026-02-17T11:58:42.151-0500,,73.105,3.046,24
11:58:43.151 AM,1771347523.151,2026-02-17T11:58:43.151-0500,,76.151,3.046,25
11:58:44.151 AM,1771347524.151,2026-02-17T11:58:44.151-0500,,79.197,3.046,26
11:58:45.151 AM,1771347525.151,2026-02-17T11:58:45.151-0500,,82.243,3.046,27
11:58:46.151 AM,1771347526.151,2026-02-17T11:58:46.151-0500,,85.289,3.046,28
11:58:47.151 AM,1771347527.151,2026-02-17T11:58:47.151-0500,,88.335,3.046,29
11:58:48.151 AM,1771347528.151,2026-02-17T11:58:48.151-0500,,91.381,3.046,30
11:58:49.151 AM,1771347529.151,2026-02-17T11:58:49.151-0500,,94.427,3.046,31
11:58:50.151 AM,1771347530.151,2026-02-17T11:58:50.151-0500,,97.473,3.046,32
11:58:51.151 AM,1771347531.151,2026-02-17T11:58:51.151-0500,,100.519,3.046,33
11:58:52.151 AM,1771347532.151,2026-02-17T11:58:52.151-0500,,103.565,3.046,34
11:58:53.151 AM,1771347533.151,2026-02-17T11:58:53.151-0500,,106.611,3.046,35
11:58:54.151 AM,1771347534.151,2026-02-17T11:58:54.151-0500,,109.657,3.046,36
11:58:55.151 AM,1771347535.151,2026-02-17T11:58:55.151-0500,,112.703,3.046,37
11:58:56.151 AM,1771347536.151,2026-02-17T11:58:56.151-0500,,115.749,3.046,38
11:58:57.151 AM,1771347537.151,2026-02-17T11:58:57.151-0500,,118.796,3.046,39
11:58:58.151 AM,1771347538.151,2026-02-17T11:58:58.151-0500,,121.842,3.046,40
11:58:59.151 AM,1771347539.151,2026-02-17T11:58:59.151-0500,,124.888,3.046,41
11:59:00.151 AM,1771347540.151,2026-02-17T11:59:00.151-0500,,127.934,3.046,42
11:59:01.151 AM,1771347541.151,2026-02-17T11:59:01.151-0500,,130.980,3.046,43
11:59:02.151 AM,1771347542.151,2026-02-17T11:59:02.151-0500,,134.026,3.046,44
11:59:03.151 AM,1771347543.151,2026-02-17T11:59:03.151-0500,148,137.072,3.046,45
11:59:04.151 AM,1771347544.151,2026-02-17T11:59:04.151-0500,151,140.118,3.046,46
11:59:05.151 AM,1771347545.151,2026-02-17T11:59:05.151-0500,153,143.164,3.046,47
11:59:06.151 AM,1771347546.151,2026-02-17T11:59:06.151-0500,153,146.210,3.046,48
11:59:07.151 AM,1771347547.151,2026-02-17T11:59:07.151-0500,153,149.256,3.046,49
11:59:08.151 AM,1771347548.151,2026-02-17T11:59:08.151-0500,153,152.302,3.046,50
11:59:09.151 AM,1771347549.151,2026-02-17T11:59:09.151-0500,153,155.348,3.046,51
11:59:10.151 AM,1771347550.151,2026-02-17T11:59:10.151-0500,154,158.394,3.046,52
11:59:11.151 AM,1771347551.151,2026-02-17T11:59:11.151-0500,154,161.440,3.046,53
11:59:12.151 AM,1771347552.151,2026-02-17T11:59:12.151-0500,156,164.486,3.046,54
11:59:13.151 AM,1771347553.151,2026-02-17T11:59:13.151-0500,158,167.532,3.046,55
11:59:14.151 AM,1771347554.151,2026-02-17T11:59:14.151-0500,158,170.578,3.046,56
11:59:15.151 AM,1771347555.151,2026-02-17T11:59:15.151-0500,158,173.624,3.046,57
11:59:16.151 AM,1771347556.151,2026-02-17T11:59:16.151-0500,158,176.670,3.046,58
11:59:17.151 AM,1771347557.151,2026-02-17T11:59:17.151-0500,155,179.716,3.046,59
11:59:18.151 AM,1771347558.151,2026-02-17T11:59:18.151-0500,154,182.762,3.046,60
11:59:19.151 AM,1771347559.151,2026-02-17T11:59:19.151-0500,154,185.808,3.046,61
11:59:20.151 AM,1771347560.151,2026-02-17T11:59:20.151-0500,154,188.854,3.046,62
11:59:21.151 AM,1771347561.151,2026-02-17T11:59:21.151-0500,154,191.900,3.046,63
11:59:22.151 AM,1771347562.151,2026-02-17T11:59:22.151-0500,154,194.947,3.046,64
11:59:23.151 AM,1771347563.151,2026-02-17T11:59:23.151-0500,154,197.993,3.046,65
11:59:24.151 AM,1771347564.151,2026-02-17T11:59:24.151-0500,154,201.039,3.046,66
11:59:25.151 AM,1771347565.151,2026-02-17T11:59:25.151-0500,154,204.085,3.046,67
11:59:26.151 AM,1771347566.151,2026-02-17T11:59:26.151-0500,155,207.131,3.046,68
11:59:27.151 AM,1771347567.151,2026-02-17T11:59:27.151-0500,155,210.177,3.046,69
11:59:28.151 AM,1771347568.151,2026-02-17T11:59:28.151-0500,155,213.223,3.046,70
11:59:29.151 AM,1771347569.151,2026-02-17T11:59:29.151-0500,155,216.269,3.046,71
11:59:30.151 AM,1771347570.151,2026-02-17T11:59:30.151-0500,157,219.315,3.046,72
11:59:31.151 AM,1771347571.151,2026-02-17T11:59:31.151-0500,157,222.361,3.046,73
11:59:32.151 AM,1771347572.151,2026-02-17T11:59:32.151-0500,158,225.407,3.046,74
11:59:33.151 AM,1771347573.151,2026-02-17T11:59:33.151-0500,158,228.453,3.046,75
