Time,Timestamp,ISO8601,Heart Rate (bpm),Distance (meter),Speed (m/s),Since start
12:09:21.014 PM,1772039361.014,2026-02-25T12:09:21.013-0500,,,,
12:09:21.014 PM,1772039361.014,2026-02-25T12:09:21.013-0500,61,0.000,3.014,0
12:09:22.014 PM,1772039362.014,2026-02-25T12:09:22.013-0500,61,3.014,3.014,1
12:09:23.014 PM,1772039363.014,2026-02-25T12:09:23.013-0500,61,6.027,3.014,2
12:09:24.014 PM,1772039364.014,2026-02-25T12:09:24.013-0500,64,9.041,3.014,3
12:09:25.014 PM,1772039365.014,2026-02-25T12:09:25.013-0500,66,12.054,3.014,4
12:09:26.014 PM,1772039366.014,2026-02-25T12:09:26.013-0500,66,15.068,3.014,5
12:09:27.014 PM,1772039367.014,2026-02-25T12:09:27.013-0500,66,18.081,3.014,6
12:09:28.014 PM,1772039368.014,2026-02-25T12:09:28.013-0500,65,21.095,3.014,7
12:09:29.014 PM,1772039369.014,2026-02-25T12:09:29.013-0500,64,24.108,3.014,8
12:09:30.014 PM,1772039370.014,2026-02-25T12:09:30.013-0500,64,27.122,3.014,9
12:09:31.014 PM,1772039371.014,2026-02-25T12:09:31.013-0500,64,30.135,3.014,10
12:09:32.014 PM,1772039372.014,2026-02-25T12:09:32.013-0500,64,33.149,3.014,11
12:09:33.014 PM,1772039373.014,2026-02-25T12:09:33.013-0500,64,36.163,3.014,12
12:09:34.014 PM,1772039374.014,2026-02-25T12:09:34.013-0500,64,39.176,3.014,13
12:09:35.014 PM,1772039375.014,2026-02-25T12:09:35.013-0500,64,42.190,3.014,14
12:09:36.014 PM,1772039376.014,2026-02-25T12:09:36.013-0500,64,45.203,3.014,15
12:09:37.014 PM,1772039377.014,2026-02-25T12:09:37.013-0500,65,48.217,3.014,16
12:09:38.014 PM,1772039378.014,2026-02-25T12:09:38.013-0500,65,51.230,3.014,17
12:09:39.014 PM,1772039379.014,2026-02-25T12:09:39.013-0500,65,54.244,3.014,18
12:09:40.014 PM,1772039380.014,2026-02-25T12:09:40.013-0500,77,57.257,3.014,19
12:09:41.014 PM,1772039381.014,2026-02-25T12:09:41.013-0500,77,60.271,3.014,20
12:09:42.014 PM,1772039382.014,2026-02-25T12:09:42.013-0500,77,63.284,3.014,21
12:09:43.014 PM,1772039383.014,2026-02-25T12:09:43.013-0500,77,66.298,3.014,22
12:09:44.014 PM,1772039384.014,2026-02-25T12:09:44.013-0500,77,69.311,3.014,23
12:09:45.014 PM,1772039385.014,2026-02-25T12:09:45.013-0500,77,72.325,3.014,24
12:09:46.014 PM,1772039386.014,2026-02-25T12:09:46.013-0500,77,75.339,3.014,25
